sequence,grid_row,grid_column,x_m,y_m,z_m,terrain_z_m,altitude_asl_m
286,20,28,105.0,135.0,45.35516357421875,25.35516357421875,645.8112182617188
287,20,27,75.0,135.0,41.294677734375,21.294677734375,641.750732421875
288,20,26,45.0,135.0,38.35107421875,18.35107421875,638.80712890625
289,20,25,15.0,135.0,36.8260498046875,16.8260498046875,637.2821044921875
290,20,24,-15.0,135.0,36.38885498046875,16.38885498046875,636.8449096679688
291,20,23,-45.0,135.0,36.8834228515625,16.8834228515625,637.3394775390625
292,20,22,-75.0,135.0,38.09466552734375,18.09466552734375,638.5507202148438
293,20,21,-105.0,135.0,39.86395263671875,19.86395263671875,640.3200073242188
294,20,20,-135.0,135.0,41.95379638671875,21.95379638671875,642.4098510742188
295,20,19,-165.0,135.0,44.14373779296875,24.14373779296875,644.5997924804688
296,20,18,-195.0,135.0,46.08587646484375,26.08587646484375,646.5419311523438
297,20,17,-225.0,135.0,47.50164794921875,27.50164794921875,647.9577026367188
298,20,16,-255.0,135.0,48.14117431640625,28.14117431640625,648.5972290039062
299,20,15,-285.0,135.0,48.4774169921875,28.4774169921875,648.9334716796875
300,20,14,-315.0,135.0,48.980712890625,28.980712890625,649.436767578125
301,20,13,-345.0,135.0,49.76885986328125,29.76885986328125,650.2249145507812
302,20,12,-375.0,135.0,50.16668701171875,30.16668701171875,650.6227416992188
303,20,11,-405.0,135.0,50.0738525390625,30.0738525390625,650.5299072265625
304,20,10,-435.0,135.0,49.62274169921875,29.62274169921875,650.0787963867188
305,20,9,-465.0,135.0,49.066650390625,29.066650390625,649.522705078125
306,20,8,-495.0,135.0,48.43438720703125,28.43438720703125,648.8904418945312
307,20,7,-525.0,135.0,47.62109375,27.62109375,648.0771484375
308,20,6,-555.0,135.0,46.60760498046875,26.60760498046875,647.0636596679688
309,20,5,-585.0,135.0,45.32635498046875,25.32635498046875,645.7824096679688
310,20,4,-615.0,135.0,43.987548828125,23.987548828125,644.443603515625
311,20,3,-645.0,135.0,42.7874755859375,22.7874755859375,643.2435302734375
312,20,2,-675.0,135.0,42.03369140625,22.03369140625,642.48974609375
313,20,1,-705.0,135.0,41.4727783203125,21.4727783203125,641.9288330078125
314,20,0,-735.0,135.0,40.86785888671875,20.86785888671875,641.3239135742188
315,21,0,-735.0,105.0,40.19146728515625,20.19146728515625,640.6475219726562
316,22,0,-735.0,75.0,39.66729736328125,19.66729736328125,640.1233520507812
